gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,1,No,Yes,51,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.33800000000001,5732.5775,0
Female,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),106.516,4289.2125,0
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,88.47399999999999,82.05249999999998,1
Female,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,113.02600000000001,5591.875,0
Male,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),109.80199999999999,7316.702499999999,0
Female,0,Yes,Yes,16,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),72.664,1728.0475,1
Male,0,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,31.0,89.9875,0
Male,1,No,No,54,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),135.40800000000002,8107.2125,0
Male,0,No,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,61.565999999999995,57.0975,1
Female,0,No,No,20,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),88.04,2392.115,0
Female,0,No,No,6,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,69.626,1071.685,0
Female,1,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,121.83,644.6899999999999,1
Female,1,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.614,1146.4925,0
Male,0,No,No,11,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),79.85600000000001,1608.3899999999999,0
Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,105.896,461.265,1
Female,1,No,No,5,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,57.474000000000004,773.605,0
Male,0,Yes,Yes,60,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),107.756,7123.215,0
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,56.172,52.09499999999999,1
Male,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,122.202,1159.8324999999998,1
Male,1,Yes,No,1,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,37.076,135.98749999999998,0
Male,0,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,118.42,3930.9299999999994,0
Female,0,Yes,Yes,50,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,81.22,4371.495,0
Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,111.16600000000001,2025.2074999999998,1
Male,0,No,No,41,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,43.4,2049.7599999999998,0
Female,0,Yes,Yes,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),63.24,668.955,0
Female,1,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),129.022,1303.6975,1
Male,1,Yes,No,31,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,126.294,4699.245,1
Female,0,Yes,No,8,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),44.205999999999996,742.9574999999999,0
Male,0,No,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),29.016,1644.0975,0
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,86.428,155.47999999999996,0
Female,1,No,No,16,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,127.472,3059.2299999999996,1
Male,1,No,No,25,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),85.74600000000001,2616.365,0
Male,1,No,No,18,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),129.76600000000002,3408.6,0
Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),110.918,5264.412499999999,0
Male,1,Yes,Yes,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.247999999999998,2068.735,0
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.18,1406.0475,0
Female,0,Yes,No,13,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),99.2,1962.4174999999998,0
Male,1,Yes,No,48,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),88.16399999999999,4761.115,0
Female,0,Yes,No,17,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),101.55600000000001,2390.3325,0
